duration_minutes,guest,date,session,anonymized_name
162,Yes,05.12.2023,7,fd42cd796596127999fa4c7829d884a9
134,Yes,05.12.2023,7,00ca4671e09e5ecf98faecb9bbfbba35
26,Yes,05.12.2023,7,24de0d45482bd248bb0b1b422d9e464c
155,Yes,05.12.2023,7,eed076246b60bc6bc91cbf3830cb6dd4
136,Yes,05.12.2023,7,0573bf3b89a34ea041726c1efe329e73
150,Yes,05.12.2023,7,608d4b30f0ddb1d3a13d02df9edfe27d
25,Yes,05.12.2023,7,00ea3329d63d9f9b298340d4c45281b0
148,Yes,05.12.2023,7,d47d45687a49e2d54ce5a0d0fad941aa
148,Yes,05.12.2023,7,54061b14020bcd0be4cc8d598a8fc7df
148,Yes,05.12.2023,7,97c345d56f4617f76d82d6f6e2d58bac
147,Yes,05.12.2023,7,ba3b76e81df859d9f5d003cda3764bb0
147,Yes,05.12.2023,7,7fabe495f583b8fd97054faa03a5e889
147,Yes,05.12.2023,7,0c73c79ec85d48d0be5a94fe41b17d16
1,Yes,05.12.2023,7,51ad280f9856c6a165476a7d2ea849e3
13,Yes,05.12.2023,7,99b13c654238e52c5fcb07f0e98b7995
146,Yes,05.12.2023,7,7bd2782b2242f8ce978bd642d4b917b7
155,Yes,05.12.2023,7,83396c31f027f73afd39ea4a97e612bf
146,Yes,05.12.2023,7,006c01d1724f1cd306f1ce5c88e35708
144,Yes,05.12.2023,7,6c66c6454bbed93bb3f853728569f7c5
147,Yes,05.12.2023,7,b9e887e8f7035380f3fd3fc885b7fbbd
144,Yes,05.12.2023,7,bebc50c2d289eef1dede92f5fe546442
146,Yes,05.12.2023,7,297c21840007b94da0bf65f2a8d6632f
53,Yes,05.12.2023,7,5d71541643b20ea0402c38447329aff9
145,Yes,05.12.2023,7,253e8d0a241fb49e4b7058eaa17f0bd6
147,Yes,05.12.2023,7,0d4cb5de3150d871ab956b6dbd2890b8
54,Yes,05.12.2023,7,eee6cebd0262e157371b496ab1be3ee4
110,Yes,05.12.2023,7,d439e83aeac0d78e37b128ef0ee8cda7
145,Yes,05.12.2023,7,74cf46aacf8eb059e46a061995c249c0
117,Yes,05.12.2023,7,39e5ec14fc0e59e117241610f007b225
119,Yes,05.12.2023,7,7804c7c63475b68cb15c86dc4383383d
126,Yes,05.12.2023,7,90c66711aed71940446aba1e38052bf9
144,Yes,05.12.2023,7,b4a0385607d4e29295da47428431a031
46,Yes,05.12.2023,7,9d0f4c5a7802b0aa5e67c0c12e30ccde
56,Yes,05.12.2023,7,1b2a9114e01d3db1f74520df73d27ae2
34,Yes,05.12.2023,7,f9a898362f5d2e8d1e24977eb78e540d
124,Yes,05.12.2023,7,b8f6e60e49dbc3a7b6ce16a6a723e37c
142,Yes,05.12.2023,7,050a16cf51710c56a2f99f8fc9522f67
142,Yes,05.12.2023,7,46cbb3253205c46166da5cb3853ebdd8
141,Yes,05.12.2023,7,45d6b4cb528be525afb5655b29f02bd5
141,Yes,05.12.2023,7,08f0d1dd0e9041626929d866848faa8c
140,Yes,05.12.2023,7,dfd934bb655df40fe9d254ed40fb0ef8
106,Yes,05.12.2023,7,67a48c174d11eebd86b114e9252fd5ab
72,Yes,05.12.2023,7,6479e7ec7748039db34142725489acd0
141,Yes,05.12.2023,7,5e7c99207a86a93eaf8f73bb76c13f30
